Carambola, कमरख (सब्जि)
Cardamom, इलाइची (मसाला)
Care, ध्यान देना
Carefree, लापरवाह
Careless, लापरवाह
Carelessly, लापरवाही
Carom seeds, अजवाइन (मसाला)
Carrot, गाजर (फल)
Carry, ढोना
Cashewnut, काजू (मेवा)
Cat, बिल्ली (जानवर)
Catch, पकड़ना
Caught, पकड़ा
Causing, के कारन
Cave, गुफा
Caxcomb, कलगा (फूल)
Cease, रोकना
Celebration, उत्सव
Ceremony, समारोह
Certainly, निश्चित रुप से
Certainly!, अवश्य!
Character, भुमिका, रोल
Characteristic, विशेषता
Charity begins at home., परोपकार घर से आरंभ होती है।
Cheaper, सस्ता
Cheater, धोखेबाज़
Check, जांच
Check the accounts, हिसाब जांच कर लो
Cheek, गाल
Cheerful, हंसमुख
Chemical, रासायनिक
Chest, छाती
Chestnut, अखरोट (मेवा)
Chew your food well, खाना अच्छी तरह चबाकर खाओ
Chicken, चूजा (पक्षी)
Chickpea flour, बेसन (अनाज)
Chickpeas, चना (अनाज)
Child, बच्चा
Childhood, बचपन
Chin, थुड्डी
Chisel, छेनी
Chrysanthemum, गुल दाउदी (फूल)
Cinnamon, दालचीनी (मसाला)
Citizen, नागरिक
City, शहर
Civilized, सन्सकारिक
Claw, पन्जा
Clean, साफ-सुथरा
Clean nicely, ठिक तरह साफ करो
Clean properly, ठिक तरह साफ करो
Clear, साफ, साफ करना
Climatic, मौसमी
Climb, चढ़ना
Climb-down, निचे उतरना
Climb-up, उपर चढ़ना
Climbed, चढ़जाना
Close, बन्द करना
